Username,Date,Time,Tweet ID,Tweet
Lvn,2023-05-25,21:09:58,1661842064001081356,"volevo fare domanda per una scuola di biblioteconomia, ma mi serviva una lettera di presentazione. scrivo al relatore che però non mi risponde, quindi chiedo alla responsabile della biblioteca dove faccio servizio civile e me la firma. il relatore di punto in bianco mi riscrive"
Douglas Santos Ribeiro,2023-05-25,20:55:51,1661838511400427558,"25 de maio - Dia do Orgulho Nerd - Enorme orgulho de explanar que sou multidisciplinar e me inclino para as mais diversas áreas, entre as quais estão: História, Jornalismo, Filosofia, Tecnologia da Informação, Geografia, Ciência Política, Biblioteconomia e Ciência da Informação + https://t.co/rWN1N1wMnh"
leia Deepa e o Deserto no Kindle,2023-05-25,20:15:49,1661828437101649939,to conhecendo um boy e ele estuda biblioteconomia nossa vou comprar a maior biblioteca da Inglaterra e importar aqui pro Brasil so pra ele
Biblioteca do CFCH/UFRJ,2023-05-25,20:00:01,1661824460998209536,"Dicas de e-books de Biblioteconomia e Ciência da Informação:

""Fronteiras da Ciência da Informação"".

Organizadora: Sarita Albagli.
IBICT, 2013.

Acesso: https://t.co/y2FYu5eaMJ

#ufrj #ebook #sibiufrj #bibliotecasufrj #bibliotecadocfchufrj #bibcfchufrjebooks https://t.co/YFyvX8j5GY"
may (taylor’s version),2023-05-25,19:38:46,1661819112039784450,quero cursar biblioteconomia pós aula de ontem no sol oriens
tay,2023-05-25,19:14:34,1661813023546245126,"*na faculdade de biblioteconomia*
- gente, só consegui pegar 4 matérias esse período 
- quais???
- capa, folha de rosto, miolo e lombada https://t.co/wTtw8FbtAz"
byazoca 💋,2023-05-25,19:03:06,1661810139060371458,faculdade de Biblioteconomia é tipo mds tenho que colocar 5 livros na estante até as 23:59 de hoje se não pego recuperação 😨😨😨😨 https://t.co/gxpsnj1WlF
Simón,2023-05-25,17:59:30,1661794130681372673,"RT @IgnasiMoreta: El problema que veig en la distinció terminològica entre ""sumari"" i ""índex"" que proposa la biblioteconomia contemporània…"
Fofoca espiritual 🎴🃏,2023-05-25,17:55:14,1661793056801136640,RT @kaleumo: faculdade de biblioteconomia é tipo mds tenho que fazer 🤫 pra 5 pessoas até sexta
gema,2023-05-25,17:49:51,1661791702867214337,@IgnasiMoreta @BlancaLlumVidal Jo vaig estudiar biblioteconomia i allà tot estava claríssim 😉
