Username,Date,Time,Tweet ID,Tweet
Tsuki 🌙,2023-05-27,02:35:49,1662286457556328449,pra quem não sabe eu faço biblioteconomia e preciso ler todos os livros da biblioteca pelo menos 1 vez por semana https://t.co/CL8dVk4N6M
nini,2023-05-27,02:19:36,1662282373386457090,"faculdade de biblioteconomia é tipo ""caralho será que organizo minha estante por ordem de cor, tamanho, autor ou gênero???"" https://t.co/B4wV7cgwD8"
juli a mata | 📖:,2023-05-27,02:18:47,1662282167915892736,"RT @911Literatura: faculdade de biblioteconomia é tipo ""mds preciso organizar todos esses livros por cor, tamanho e nome do autor até terça…"
Julinha Kochanowski,2023-05-27,02:16:16,1662281535251263489,RT @escitaloprana: faculdade de biblioteconomia é tipo putz preciso mandar 5 pessoas ficarem quietas e renovar 3 empréstimos até sexta!!!!…
愛,2023-05-27,02:05:24,1662278802465062912,faculdade de biblioteconomia é tipo mds preciso organizar essa estante até o fim da tarde https://t.co/YwtE10Bpcm https://t.co/fgzwRvq03y
juju,2023-05-27,01:20:28,1662267495162544129,@vargassszz pra biblioteconomia não precisa d muito neee🙈🙈🙈🥰🥰🥰🥰😝😝😝😝 affe não vamos ser rancorosos com os outrosss
Jo/ão 📚🐝,2023-05-27,01:08:38,1662264514429984770,"RT @911Literatura: faculdade de biblioteconomia é tipo ""mds preciso organizar todos esses livros por cor, tamanho e nome do autor até terça…"
Hikikomori,2023-05-27,01:01:46,1662262786884239360,"RT @911Literatura: faculdade de biblioteconomia é tipo ""mds preciso organizar todos esses livros por cor, tamanho e nome do autor até terça…"
Lara,2023-05-27,01:00:39,1662262506801315842,"Eu entrando em biblioteconomia achando que é só organizar livros

Não é https://t.co/VVugJ3T0BR https://t.co/FcKeIlVYYo"
lala,2023-05-26,23:49:28,1662244591486001153,faculdade de biblioteconomia é tipo “mds preciso mandar 5 pessoas fazerem silêncio até quinta” https://t.co/PGlJUQR8qR https://t.co/DU0VATrGub
mcb 💽,2023-05-26,23:30:15,1662239755705229313,@cldn_z biblioteconomia pode trabalhar com arquivo e nao ironicamente biblioteca (tem concurso pra isso)
Claudino,2023-05-26,23:28:19,1662239268050202624,"o que uma pessoa formada em ciências sociais faz?

e biblioteconomia? pergunta sincera."
verdinho,2023-05-26,23:17:26,1662236532470607877,RT @winhouw: como pode essa maluca estar dando aula no dci sem saber a história da prática da Biblioteconomia de verdade
vestiu uma camisa listrada e saiu por aí,2023-05-26,23:11:42,1662235087113449473,RT @morenovski: https://t.co/TMghituSRS https://t.co/U6pXfok3Fy
Observatório de Boas Práticas BCI,2023-05-26,23:09:05,1662234431086551041,"A inteligência artificial contribuindo com a democratização da leitura! 📚✨
Visite nosso site para saber mais:
🔗https://t.co/ODMQBmeIqF

#BoasPraticasBCI #Biblioteconomia #projetodeextensaoufrn #librarianship https://t.co/Px4zknV7PK"
❀,2023-05-26,23:02:06,1662232671789957122,como pode essa maluca estar dando aula no dci sem saber a história da prática da Biblioteconomia de verdade
Yagi,2023-05-26,23:00:52,1662232363282079745,"Quarta e quinta: Biblioteconomia é até legal, talvez eu fique nesse curso.
Sexta: Eu vou trancar a matrícula agora."
Lah ¥ ☾,2023-05-26,22:44:54,1662228345604681729,"@urevival meu deus amg eu adorei o seu tema kkkkkk 
eu faço facul de Biblioteconomia e Ciência da Informação"
stefan⁷,2023-05-26,22:12:58,1662220305459445760,"RT @911Literatura: faculdade de biblioteconomia é tipo ""mds preciso organizar todos esses livros por cor, tamanho e nome do autor até terça…"
